iter	Passed	Remaining
0	1	104
1	1	73
2	1	63
3	2	56
4	2	53
5	3	51
6	3	49
7	4	51
8	4	49
9	5	47
10	5	46
11	6	45
12	6	44
13	7	43
14	7	43
15	8	43
16	8	42
17	9	42
18	9	42
19	10	41
20	10	40
21	11	40
22	11	39
23	12	39
24	13	39
25	13	39
26	14	39
27	15	38
28	15	38
29	16	38
30	17	37
31	17	37
32	18	37
33	18	36
34	19	36
35	20	36
36	21	35
37	21	35
38	22	35
39	23	35
40	24	34
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
